id,geometry,buildstart,opening,closure,length,city_id
1911,"LINESTRING(19.0817752 47.5005079,19.0817355 47.5004893,19.0807974 47.5000068,19.0803989 47.4998011,19.079491 47.4991458,19.0791327 47.4986762,19.0772964 47.4955602,19.0766446 47.4945492,19.0760385 47.49405,19.0752771 47.493605,19.0746593 47.4933489,19.0738419 47.4931273,19.0724272 47.4928741,19.0714014 47.4926904,19.0705006 47.4925309,19.0698621 47.4923834,19.0690296 47.4921049,19.0618357 47.4893223,19.0613785 47.4891046,19.060975 47.4889126,19.0593017 47.4879414,19.0587136 47.4874644,19.0584927 47.4872223,19.0578868 47.4861782,19.057606 47.4857793,19.0573097 47.4854394,19.0554189 47.4838484,19.054754 47.4832741,19.054014 47.482635,19.0534836 47.4823146,19.0527699 47.4819185,19.0509559 47.4807818,19.0503245 47.4803739,19.0497254 47.4799532,19.0491567 47.4794995,19.048538 47.4788871,19.0480326 47.478316,19.0476105 47.4778133,19.0474229 47.4772914,19.0472593 47.4766126,19.0471328 47.4760528,19.0462516 47.4735442,19.0459836 47.4728946,19.0454836 47.471696,19.0448219 47.4705031,19.0437705 47.4693496,19.0422614 47.468224,19.0399778 47.4671626,19.0376454 47.4661899,19.0352558 47.4655756,19.0334721 47.4651736,19.0319979 47.4648632,19.0307579 47.4646427,19.0290703 47.4644266,19.0272172 47.4642833,19.0253275 47.4641549,19.0246336 47.4641389,19.0239994 47.4641582,19.0226824 47.4642448,19.0222187 47.4642709,19.020656 47.4643687,19.0195835 47.4644471)",0,0,999999,6719,29
2563,"LINESTRING(16.4151057 48.1907238,16.4156455 48.190389,16.4170845 48.1895171)",0,0,999999,199,118
2557,"LINESTRING(16.4164437 48.1839655,16.4161534 48.1836515,16.4158173 48.1833488,16.4155745 48.1831673,16.4153602 48.1830237,16.4151342 48.1828881,16.4148982 48.1827604,16.4146926 48.1826603,16.4144833 48.1825675,16.4142825 48.1824861,16.4141186 48.1824167,16.4140102 48.1823673,16.4139056 48.1823162,16.4137529 48.182233,16.4135925 48.1821472,16.4134211 48.1820376,16.4131191 48.1818536,16.4128041 48.1816269,16.4125639 48.1814033,16.4123453 48.181168,16.4120298 48.1808047,16.4116795 48.1803475,16.4113292 48.1798903,16.4109949 48.1793831,16.4108121 48.1789775,16.4107516 48.178733,16.4107157 48.1784378,16.4107385 48.1780427,16.4108399 48.1776321,16.4111028 48.177078)",0,0,999999,925,118
2558,"LINESTRING(16.4164901 48.1839473,16.416198 48.1836313,16.4158591 48.1833262,16.4156137 48.1831427,16.4153974 48.1829977,16.4151692 48.1828607,16.414931 48.182732,16.4147234 48.1826309,16.4145123 48.1825371,16.4143219 48.1824491,16.414152 48.1823599,16.4139933 48.18227,16.4138128 48.1821679,16.4136257 48.1820299,16.4134848 48.1819043,16.4132958 48.1817187,16.4130732 48.1814777,16.4128921 48.1812542,16.4127223 48.181028,16.412486 48.1806772,16.4121931 48.1801668,16.4119012 48.1796582,16.4117692 48.1794077,16.4115911 48.1790904,16.4114857 48.1788783,16.4114265 48.1787169,16.4113737 48.178553,16.4113528 48.1783256,16.4113766 48.1780488,16.4114572 48.1777929,16.4115651 48.1775514,16.4117489 48.1772184)",0,0,999999,881,118
2564,"LINESTRING(16.415259 48.1908074,16.4153634 48.190746,16.4156079 48.1905985,16.4162929 48.1901825,16.4167818 48.189893,16.4171761 48.1896436,16.417375 48.1895146)",0,0,999999,213,118
2565,"LINESTRING(16.4120893 48.1927723,16.4130719 48.1921607,16.4132932 48.1920235,16.413609 48.1918264,16.4141822 48.1914748,16.4147524 48.191125,16.4149727 48.1909823,16.415259 48.1908074)",0,0,999999,321,118
2566,"LINESTRING(16.412035 48.1927423,16.4129962 48.1921133,16.4132141 48.1919707,16.4135239 48.1917679,16.4140784 48.1914073,16.4146349 48.1910454,16.4147239 48.1909826,16.4148596 48.1908865,16.4151057 48.1907238)",0,0,999999,320,118
2567,"LINESTRING(16.3949694 48.2005582,16.3984035 48.1985083,16.3993181 48.1979618,16.3998962 48.197622,16.4004715 48.1972838,16.4011364 48.1969538,16.401813 48.1966319,16.4032509 48.1960011,16.4039223 48.1957086,16.4059947 48.1948059,16.4067773 48.194462,16.4072888 48.1942372,16.4075663 48.1941084,16.4080565 48.1938927,16.4083274 48.1937854,16.4085071 48.1937282,16.4086963 48.1936746,16.4093969 48.1935505,16.4103781 48.1933857,16.4110952 48.19324,16.4114368 48.1931169,16.4116053 48.1930368,16.4120893 48.1927723)",0,0,999999,1555,118
3434,"LINESTRING(139.387327940585 35.3676500392482,139.386198840205 35.3684306545863,139.385290650795 35.3688509827827,139.384308824406 35.3693914015494,139.383400634996 35.3697516787171,139.382345171626 35.3700118778978,139.381019705987 35.3703121066745,139.380185153557 35.3707124099687,139.379276964116 35.3713328761492,139.378516048667 35.3723736474238,139.378098772467 35.3733343474647,139.377853315847 35.3743550787274,139.378074226787 35.375375797067,139.378466957367 35.3767767620105,139.379535244568 35.3800839081475,139.379682518528 35.3806442643415,139.379731609828 35.3817649650663,139.379608881548 35.3828456260258,139.379363424928 35.3852270314683,139.379030739788 35.3878792563645,139.378834374498 35.3886796866738,139.378515280928 35.3894600985856,139.378328584795 35.3898890395009,139.378005028921 35.3909847023726,139.377886621726 35.3917740554985,139.377903214371 35.3924300870029,139.377928103256 35.393316059214,139.377936399578 35.3937353709307,139.378027658919 35.3941073391642,139.378384400041 35.3948918483589)",1926,1926,999999,3534,114
3433,"LINESTRING(139.407314018783 35.3308431975794,139.408351442262 35.3311488260761,139.409734673568 35.3315955118195,139.41042628922 35.3320186855051,139.410858549003 35.3325594042078,139.411002635573 35.3332176655681,139.410800914353 35.3339699577072,139.409821125524 35.3355685552579,139.408870154002 35.3371671211875,139.405858059352 35.3427201410577,139.403149231391 35.3474448042727,139.401557941549 35.3502634156393,139.401125681766 35.3513446052584,139.400751056597 35.3527548308498,139.399944171681 35.3559982562482,139.399708441181 35.3572203827488,139.39921927131 35.3584546027118,139.398791478939 35.3591475446556,139.398189535038 35.3599188626165,139.397523516933 35.3606281377966,139.395416986373 35.3620712323328,139.390921484667 35.3652437838049,139.387376954448 35.3676172407896)",1921,1921,999999,4966,114
1020,"LINESTRING(14.252131572634 40.8534662241477,14.2520416639302 40.8526832597326,14.251909656643 40.852028843756,14.25140848028 40.8509713723486,14.2504720718165 40.8494350159044,14.2498785735093 40.8482192439341)",1996,2002,999999,618,87
705,"LINESTRING(-0.136464215469061 51.3876655954957,-0.132316700539803 51.386692693169,-0.129868631143864 51.3859293949339,-0.128175119051406 51.3853135685175,-0.126564176281732 51.3844241157871,-0.122883570296409 51.3818502051116,-0.119969241290988 51.3790587537131,-0.115840822928448 51.3752843634109,-0.114561651862886 51.3741873345891,-0.113447749579109 51.3735786195835,-0.112190693147795 51.3733874189656,-0.111098715469694 51.3734743218266,-0.109498502370599 51.3739263915943,-0.108257262526109 51.374674689804,-0.107011474716643 51.3756504236127,-0.105738232797307 51.3764703979878,-0.104293543763589 51.3777991550937,-0.103728571622156 51.3783774077768)",1996,2000,999999,3232,69
4,"LINESTRING(-58.456195965415 -34.6264841092164,-58.4590874308423 -34.6276915120621,-58.4623241458729 -34.6287923640494,-58.4634893632839 -34.6290764525138,-58.4704568352055 -34.6309330738418)",2004,2013,,1401,1
13,"LINESTRING(-58.4211962868774 -34.5814691900692,-58.4233972530977 -34.5799413274588,-58.4256845317189 -34.5784667357481)",1936,1940,,530,1
14,"LINESTRING(-58.4256845317189 -34.5784667357481,-58.4266339681277 -34.5780758757281,-58.4303022451619 -34.5769743512381,-58.4328484609856 -34.5761215480598,-58.434647012177 -34.575347228336,-58.4350135308139 -34.5751783669187)",1976,1987,,932,1
19,"LINESTRING(-58.4146615753957 -34.6253152667391,-58.4158855905226 -34.6254453735449)",,1960,,113,1
1918,"LINESTRING(139.531345320539 35.3533998327774,139.530229789135 35.3505600231434,139.530263593103 35.3492365825986,139.530939672756 35.3479958374115,139.532393243964 35.3463414808265,139.534117247042 35.3445767964706,139.53509756249 35.3438047349327,139.536382113817 35.3430878140521,139.538139920863 35.3425639063158,139.539458276158 35.3421227182034,139.540810435421 35.3414057823973,139.542297810597 35.3400546168563,139.544562677372 35.3379037352852,139.545678208775 35.3369110014213,139.547965739386 35.3347046936825,139.548371387169 35.3336843433077,139.548506603083 35.3319193825091,139.548472799115 35.3296028129566,139.548540407051 35.328003238101,139.548777034952 35.3269828031263,139.549622134486 35.3259071955483,139.550399626042 35.3249970548814,139.550706403453 35.3240875240662,139.550706403453 35.3224878400631,139.550469775551 35.3188470619677,139.550506834926 35.3174626232519,139.550844874731 35.3161110574218,139.551284326482 35.3150628887884,139.552129426058 35.3136009467072,139.553582997267 35.3122217318246,139.554799940616 35.3116148698174,139.556523943652 35.3107597383716,139.558450770621 35.3102632062802,139.560817049342 35.3097390857602,139.562826816045 35.3091121563731,139.565497330603 35.3077328649514,139.567018509747 35.3066294148716,139.568134041151 35.306022510927,139.56911435664 35.3051949072862,139.569756632283 35.303925898606,139.570263692012 35.3028223966027,139.570635535827 35.3016912914418,139.571176399523 35.3003946392441,139.571784871198 35.2997325109561,139.572765186646 35.2987117192425,139.573982129995 35.2979943984409,139.575469505213 35.2975529670858,139.577058292336 35.297387429709,139.578816099381 35.2976357356472,139.587303733163 35.2990381612744,139.59102217046 35.2996451175891,139.59267856556 35.2998106503478,139.594740608443 35.2995347622228,139.610831303767 35.2977690559984,139.612435976193 35.2975643421161,139.613619115532 35.2972056774336,139.615376922621 35.2965159331642,139.616931905775 35.2957158224597,139.617844613287 35.2950812462776,139.61896014469 35.2943363026652,139.620548931812 35.2938396697812,139.623726506099 35.2928739860114,139.624808233534 35.2926256654641,139.626363216689 35.2926256654641,139.628661887431 35.2929567593579,139.632422981607 35.2933909897426,139.633031453281 35.2933633987788,139.634349808576 35.2931978528328,139.638609110256 35.2925908481458,139.640637349172 35.2922873440952,139.64141484077 35.2919562474632,139.646113594201 35.2898316785212,139.648722169414 35.2884497445451,139.649837700775 35.2876771470169,139.650784212297 35.2868493557567,139.651527899885 35.2861319298239,139.652609627279 35.285138560337,139.654130806465 35.2843107431211,139.655212533901 35.2841175845645,139.65566016154 35.2839859023799)",1889,1889,999999,15949,114
1913,"LINESTRING(139.676972829062 35.6768524704318,139.677588652225 35.6769497882496,139.678042919099 35.6771186567142,139.678751267383 35.6775502078056,139.679782992089 35.6779004504552,139.680930208377 35.678306980183,139.681800244892 35.6786822365528,139.682801171858 35.6790887622823,139.683740503306 35.6794452523907,139.684487348784 35.6796829115678,139.685696160546 35.6800706694201,139.686366011675 35.6802958184773,139.686881874028 35.6806523031776,139.687590222351 35.6811901542791)",1914,1914,999999,1085,114
1912,"LINESTRING(139.676971664448 35.6768522651622,139.676368193522 35.6767154360516,139.674786285393 35.6762870962452,139.67332012679 35.6758483065827,139.67142955387 35.675137880105,139.669333204294 35.6744274473164,139.667069661198 35.6736020836297,139.664436734399 35.6727762851446,139.662919131623 35.672264341122,139.661105724946 35.6716688102653,139.659588122171 35.6711568591394,139.656131419568 35.669965513183,139.655153980521 35.669725204881,139.651887276275 35.6687326194066,139.650806948883 35.6684191688123,139.64855626635 35.6677818154751,139.64527670107 35.6668101030258,139.644209234713 35.6664757476112,139.643360406048 35.6662458774586,139.642845964422 35.6661100447734,139.642305800726 35.6661100447734,139.641662748718 35.6661413907962,139.634936424472 35.667134008738,139.632145578716 35.6675206038626,139.626705358684 35.668335582042,139.620816692825 35.6692132416757,139.615878053351 35.6698819281607,139.611055162963 35.6706237457538,139.610360666783 35.6707073303857,139.609550421223 35.6707073303857,139.60858584321 35.6706550900043,139.6079170691 35.6704879205175,139.606991074193 35.6701849249551,139.600213305954 35.6678131613477,139.593821368945 35.6655144685082,139.58358180075 35.6618384294827,139.582347140719 35.6613995604935,139.578720327365 35.6596963076095,139.578205885739 35.6595186656413,139.577665722043 35.6592365276053,139.574977764675 35.657961669316,139.572045447501 35.6565300417492,139.570180596651 35.6557253930958,139.56893307574 35.6551192887548,139.566822626211 35.6541558595292,139.562809981645 35.6522538930983,139.560366383661 35.6511356829703,139.558411505534 35.6502369232332,139.557832758733 35.6500070063328,139.557048235276 35.6496934822145,139.556225128681 35.6496203264141,139.554939024664 35.6496098755707,139.552855536123 35.649808441205,139.551312211277 35.6499443016076,139.550874935944 35.6499652033046,139.550231883903 35.6501428665098,139.548598531781 35.6506236002794,139.546219239337 35.6512924424653,139.544200056003 35.6518881253012)",1913,1913,999999,12887,114
2559,"LINESTRING(16.4183007 48.186196,16.4181883 48.1860126,16.4180512 48.1858361,16.4178517 48.1855849,16.4176355 48.1853222,16.4174875 48.185137,16.4169376 48.1844491,16.4167215 48.1841957,16.4164901 48.1839473)",0,0,999999,284,118
